contrast,judge,selected_on,budget_gpu_h,metric,channel,direction,iter_a,iter_b,model_a,model_b,mean_a,mean_b,n,mean_delta,dz,ci_lo,ci_hi,p,p_holm,delta_K0_minus_K5,dz_K0_minus_K5
PTO_K,gpt-4o-mini,Q1Q2 (gpt-4o-mini) best-within-budget,19.68,MICI_OverPraise,Over-praise / session (MICI),lower=better,10,10,PTOExp3_LA5_I10,PTOExp3_LA0_I10,0.625,3.0416666666666665,96,-2.4166666666666665,-0.8869136729490759,-2.96875,-1.90625,1.087789083337652e-12,6.526734500025912e-12,2.4166666666666665,0.8869136729490759
PTO_K,gpt-4o-mini,Q1Q2 (gpt-4o-mini) best-within-budget,19.68,MICI_OverPraise_rate,Over-praise / turn (MICI),lower=better,10,10,PTOExp3_LA5_I10,PTOExp3_LA0_I10,0.04322264967001809,0.298990533639334,96,-0.2557678839693159,-1.162634339537158,-0.2997912771881183,-0.21381941476181265,1.3852732601073631e-15,9.696912820751541e-15,0.2557678839693159,1.162634339537158
PTO_K,gpt-4o-mini,Q1Q2 (gpt-4o-mini) best-within-budget,19.68,MICI_AdviseNoPermission,Advise w/o permission / session (MICI),lower=better,10,10,PTOExp3_LA5_I10,PTOExp3_LA0_I10,1.90625,1.59375,96,0.3125,0.23884610838283168,0.051822916666666684,0.5833333333333334,0.01450128416835919,0.02900256833671838,-0.3125,-0.23884610838283168
PTO_K,gpt-4o-mini,Q1Q2 (gpt-4o-mini) best-within-budget,19.68,MICI_AdviseNoPermission_rate,Advise w/o permission / turn (MICI),lower=better,10,10,PTOExp3_LA5_I10,PTOExp3_LA0_I10,0.15367596960144955,0.16270520426891363,96,-0.009029234667464072,-0.06390870190755558,-0.036409429677362715,0.019660641100368175,0.6107473648634658,0.6107473648634658,0.009029234667464072,0.06390870190755558
PTO_K,gpt-4o-mini,Q1Q2 (gpt-4o-mini) best-within-budget,19.68,MICI_BehaviorTotal,MI-Incon. acts / session (MICI),lower=better,10,10,PTOExp3_LA5_I10,PTOExp3_LA0_I10,3.34375,4.958333333333333,96,-1.6145833333333333,-0.4464082395804686,-2.3541666666666665,-0.9270833333333334,4.554892017546125e-05,0.000182195680701845,1.6145833333333333,0.4464082395804686
PTO_K,gpt-4o-mini,Q1Q2 (gpt-4o-mini) best-within-budget,19.68,B6_AF,Affirmations (MITI),higher=more MI-consistent,10,10,PTOExp3_LA5_I10,PTOExp3_LA0_I10,0.84375,1.6354166666666667,96,-0.7916666666666666,-0.4149260833190339,-1.1770833333333333,-0.4166666666666667,0.00028393012699492944,0.0008517903809847883,0.7916666666666666,0.4149260833190339
PTO_K,gpt-4o-mini,Q1Q2 (gpt-4o-mini) best-within-budget,19.68,B6_AF_per_turn,Affirmations / turn (MITI),higher=more MI-consistent,10,10,PTOExp3_LA5_I10,PTOExp3_LA0_I10,0.042783765872400785,0.14183715325960874,96,-0.09905338738720797,-0.7084483405818688,-0.12726242083218253,-0.07064302158163707,5.7630024392707255e-09,2.8815012196353627e-08,0.09905338738720797,0.7084483405818688
PTO_K,text (grader-independent),Q1Q2 (gpt-4o-mini) best-within-budget,19.68,conv_len,Conversation length,count (no valence),10,10,PTOExp3_LA5_I10,PTOExp3_LA0_I10,28.697916666666668,20.385416666666668,96,8.3125,0.5478515111375081,5.343229166666667,11.271093749999999,1.5268385509654295e-06,1.5268385509654295e-06,-8.3125,-0.5478515111375081
PTO_K,text (grader-independent),Q1Q2 (gpt-4o-mini) best-within-budget,19.68,mean_turn_len,Turn length (chars),count (no valence),10,10,PTOExp3_LA5_I10,PTOExp3_LA0_I10,810.8754777003027,686.2022435826648,96,124.67323411763793,0.5548273135600682,77.28063443076711,167.58023570590328,1.7776238015906107e-09,3.5552476031812214e-09,-124.67323411763793,-0.5548273135600682
GRPO_K,gpt-4o-mini,Q1Q2 (gpt-4o-mini) best-within-budget,27.08,MICI_OverPraise,Over-praise / session (MICI),lower=better,4,8,GRPOExp3_LA5_I4,GRPOExp3_LA0_I8,0.5208333333333334,3.875,96,-3.3541666666666665,-1.2963793664128946,-3.89609375,-2.9166666666666665,2.3103740735226743e-16,1.3862244441136046e-15,3.3541666666666665,1.2963793664128946
GRPO_K,gpt-4o-mini,Q1Q2 (gpt-4o-mini) best-within-budget,27.08,MICI_OverPraise_rate,Over-praise / turn (MICI),lower=better,4,8,GRPOExp3_LA5_I4,GRPOExp3_LA0_I8,0.04308613533797357,0.3688634025231628,96,-0.32577726718518923,-1.6165661669263143,-0.3639958869055844,-0.2880864195263057,1.5453829291367603e-16,1.0817680503957323e-15,0.32577726718518923,1.6165661669263143
GRPO_K,gpt-4o-mini,Q1Q2 (gpt-4o-mini) best-within-budget,27.08,MICI_AdviseNoPermission,Advise w/o permission / session (MICI),lower=better,4,8,GRPOExp3_LA5_I4,GRPOExp3_LA0_I8,2.28125,1.4895833333333333,96,0.7916666666666666,0.6262108650979926,0.5520833333333334,1.0416666666666667,1.071182073226571e-07,4.284728292906284e-07,-0.7916666666666666,-0.6262108650979926
