judge,method,iteration,item,short,group,n,mean_K0,mean_K5,k_delta,k_dz,k_ci_lo,k_ci_hi,k_p,k_p_holm
gpt-4o-mini,PTO,10,1,sense of who he was,Self-disclosure,96,3.9270833333333335,3.96875,-0.041666666666666664,-0.0961688222221799,-0.125,0.041666666666666664,0.3457785861511603,1.0
gpt-4o-mini,PTO,10,2,revealed his thinking,Self-disclosure,96,4.114583333333333,4.072916666666667,0.041666666666666664,0.0627898326244727,-0.08333333333333333,0.17708333333333334,0.5324160716485675,1.0
gpt-4o-mini,PTO,10,3,shared his feelings,Self-disclosure,96,3.3854166666666665,3.2708333333333335,0.11458333333333333,0.16886744558374442,-0.010416666666666666,0.2604166666666667,0.09833360199917039,1.0
gpt-4o-mini,PTO,10,4,knew how I was feeling,Empathy/understanding,96,4.427083333333333,4.416666666666667,0.010416666666666666,0.01954305614163772,-0.10416666666666667,0.11458333333333333,0.8473896596867143,1.0
gpt-4o-mini,PTO,10,5,understood me,Empathy/understanding,96,4.427083333333333,4.385416666666667,0.041666666666666664,0.07197961219974604,-0.08333333333333333,0.15625,0.48170513721844843,1.0
gpt-4o-mini,PTO,10,6,put himself in my shoes,Empathy/understanding,96,4.322916666666667,4.239583333333333,0.08333333333333333,0.11564059731663334,-0.052083333333333336,0.2294270833333319,0.23354069570709457,1.0
gpt-4o-mini,PTO,10,7,comfortable talking,Fluency/ease,96,4.729166666666667,4.729166666666667,0.0,0.0,-0.09375,0.09375,1.0,1.0
gpt-4o-mini,PTO,10,8,relaxed and secure,Fluency/ease,96,4.71875,4.739583333333333,-0.020833333333333332,-0.04148511169990535,-0.11458333333333333,0.08333333333333333,0.6830913983096087,1.0
gpt-4o-mini,PTO,10,9,took charge,Direction/control,96,4.208333333333333,4.177083333333333,0.03125,0.0530973232469623,-0.08359374999999998,0.14583333333333334,0.5939504267267683,1.0
gpt-4o-mini,PTO,10,10,said when happy/sad,Self-disclosure,96,3.5520833333333335,3.4791666666666665,0.07291666666666667,0.11169068534589902,-0.052083333333333336,0.19791666666666666,0.27429882739587585,1.0
gpt-4o-mini,PTO,10,11,no difficulty w/ words,Fluency/ease,96,4.739583333333333,4.760416666666667,-0.020833333333333332,-0.04791677174742169,-0.10416666666666667,0.0625,0.6373518882339371,1.0
gpt-4o-mini,PTO,10,12,expressed himself,Fluency/ease,96,4.739583333333333,4.770833333333333,-0.03125,-0.07005015912464746,-0.11458333333333333,0.0625,0.4912971242158931,1.0
gpt-4o-mini,PTO,10,13,a 'warm' partner,Warmth/closeness,96,4.333333333333333,4.375,-0.041666666666666664,-0.06134064126848857,-0.17708333333333334,0.09375,0.5437929678767246,1.0
gpt-4o-mini,PTO,10,14,did not judge me,Non-judgment/equality,96,4.833333333333333,4.885416666666667,-0.052083333333333336,-0.11147065690010308,-0.13541666666666666,0.041666666666666664,0.27523352407483437,1.0
gpt-4o-mini,PTO,10,15,treated me as equal,Non-judgment/equality,96,4.78125,4.854166666666667,-0.07291666666666667,-0.14361437468016167,-0.16666666666666666,0.020833333333333332,0.16151331846754213,1.0
gpt-4o-mini,PTO,10,16,made me feel cared for,Warmth/closeness,96,4.697916666666667,4.760416666666667,-0.0625,-0.08478358720056402,-0.1981770833333333,0.08333333333333333,0.5034995554324831,1.0
gpt-4o-mini,PTO,10,17,made me feel close,Warmth/closeness,96,4.520833333333333,4.71875,-0.19791666666666666,-0.2388298364453616,-0.3645833333333333,-0.03125,0.03829275366844439,0.6509768123635546
gpt-4o-mini,GRPO,5,1,sense of who he was,Self-disclosure,96,3.75,3.7708333333333335,-0.020833333333333332,-0.05083078294048703,-0.10416666666666667,0.0625,0.6170750774519738,1.0
