judge,arm,item,short,group,target_iter,n,base,target,gain,gain_ci_lo,gain_ci_hi,gain_dz,gain_p
gpt-4o-mini,PTO_LA0,1,sense of who he was,Self-disclosure,10,96,3.0729166666666665,3.9270833333333335,0.8541666666666666,0.7083333333333334,1.0104166666666667,1.0751762088184733,7.150274086427656e-12
gpt-4o-mini,PTO_LA0,2,revealed his thinking,Self-disclosure,10,96,2.6354166666666665,4.114583333333333,1.4791666666666667,1.3125,1.65625,1.6764297380643984,3.8197778503312506e-16
gpt-4o-mini,PTO_LA0,3,shared his feelings,Self-disclosure,10,96,2.15625,3.3854166666666665,1.2291666666666667,1.09375,1.3645833333333333,1.827884983905532,1.180236473429362e-17
gpt-4o-mini,PTO_LA0,4,knew how I was feeling,Empathy/understanding,10,96,3.3333333333333335,4.427083333333333,1.09375,0.90625,1.2916666666666667,1.1354115682343549,2.6213915264483483e-13
gpt-4o-mini,PTO_LA0,5,understood me,Empathy/understanding,10,96,3.2916666666666665,4.427083333333333,1.1354166666666667,0.9375,1.34375,1.099871358936022,8.058839507242577e-13
gpt-4o-mini,PTO_LA0,6,put himself in my shoes,Empathy/understanding,10,96,2.78125,4.322916666666667,1.5416666666666667,1.3541666666666667,1.7395833333333333,1.5680218521231244,1.9933030586763665e-16
gpt-4o-mini,PTO_LA0,7,comfortable talking,Fluency/ease,10,96,3.5208333333333335,4.729166666666667,1.2083333333333333,1.0205729166666666,1.40625,1.1787203265558581,2.6192996496122326e-13
gpt-4o-mini,PTO_LA0,8,relaxed and secure,Fluency/ease,10,96,3.4791666666666665,4.71875,1.2395833333333333,1.0416666666666667,1.4479166666666667,1.1876520201301848,1.841215112320942e-13
gpt-4o-mini,PTO_LA0,9,took charge,Direction/control,10,96,2.7291666666666665,4.208333333333333,1.4791666666666667,1.2708333333333333,1.6877604166666653,1.3625445207482085,6.9411850590719395e-15
gpt-4o-mini,PTO_LA0,10,said when happy/sad,Self-disclosure,10,96,2.3020833333333335,3.5520833333333335,1.25,1.09375,1.40625,1.5997709965427271,7.600419595161288e-16
gpt-4o-mini,PTO_LA0,11,no difficulty w/ words,Fluency/ease,10,96,3.53125,4.739583333333333,1.2083333333333333,1.0104166666666667,1.4270833333333333,1.1341540388425073,6.153089637906164e-13
gpt-4o-mini,PTO_LA0,12,expressed himself,Fluency/ease,10,96,3.5,4.739583333333333,1.2395833333333333,1.0416666666666667,1.4479166666666667,1.1653445281557642,2.855767623522158e-13
gpt-4o-mini,PTO_LA0,13,a 'warm' partner,Warmth/closeness,10,96,3.0208333333333335,4.333333333333333,1.3125,1.0833333333333333,1.5520833333333333,1.1368453389876245,9.759487582248693e-14
gpt-4o-mini,PTO_LA0,14,did not judge me,Non-judgment/equality,10,96,3.40625,4.833333333333333,1.4270833333333333,1.1458333333333333,1.71875,0.9848067692657646,1.5915098825803566e-11
gpt-4o-mini,PTO_LA0,15,treated me as equal,Non-judgment/equality,10,96,3.34375,4.78125,1.4375,1.15625,1.7291666666666667,1.0069060275043848,6.7401468197251814e-12
gpt-4o-mini,PTO_LA0,16,made me feel cared for,Warmth/closeness,10,96,3.1666666666666665,4.697916666666667,1.53125,1.2916666666666667,1.791927083333332,1.1877040691467724,2.974639873851771e-13
gpt-4o-mini,PTO_LA0,17,made me feel close,Warmth/closeness,10,96,3.0520833333333335,4.520833333333333,1.46875,1.2395833333333333,1.7291666666666667,1.193355541498687,2.77551277462487e-13
gpt-4o-mini,PTO_LA5,1,sense of who he was,Self-disclosure,10,96,3.0729166666666665,3.96875,0.8958333333333334,0.7395833333333334,1.0627604166666653,1.1004299693127095,1.9500196698411496e-12
gpt-4o-mini,PTO_LA5,2,revealed his thinking,Self-disclosure,10,96,2.6145833333333335,4.072916666666667,1.4583333333333333,1.2916666666666667,1.6354166666666667,1.6322569713475938,4.0344021108955927e-16
gpt-4o-mini,PTO_LA5,3,shared his feelings,Self-disclosure,10,96,2.1354166666666665,3.2708333333333335,1.1354166666666667,1.0104166666666667,1.2708333333333333,1.7232962112206098,4.515896489950481e-17
gpt-4o-mini,PTO_LA5,4,knew how I was feeling,Empathy/understanding,10,96,3.2708333333333335,4.416666666666667,1.1458333333333333,0.9583333333333334,1.3440104166666653,1.1646292920959243,7.664672877113133e-13
gpt-4o-mini,PTO_LA5,5,understood me,Empathy/understanding,10,96,3.1458333333333335,4.385416666666667,1.2395833333333333,1.03125,1.4583333333333333,1.1242583550332328,2.4174343152578696e-12
gpt-4o-mini,PTO_LA5,6,put himself in my shoes,Empathy/understanding,10,96,2.71875,4.239583333333333,1.5208333333333333,1.3333333333333333,1.71875,1.598819484413075,3.134894867018617e-16
gpt-4o-mini,PTO_LA5,7,comfortable talking,Fluency/ease,10,96,3.5,4.729166666666667,1.2291666666666667,1.0208333333333333,1.4583333333333333,1.071741295390758,3.2694160749616e-12
gpt-4o-mini,PTO_LA5,8,relaxed and secure,Fluency/ease,10,96,3.46875,4.739583333333333,1.2708333333333333,1.0416666666666667,1.5208333333333333,1.058415445967245,3.3980695066938177e-12
gpt-4o-mini,PTO_LA5,9,took charge,Direction/control,10,96,2.7083333333333335,4.177083333333333,1.46875,1.2604166666666667,1.6875,1.3413308247201012,5.4541317091121085e-15
gpt-4o-mini,PTO_LA5,10,said when happy/sad,Self-disclosure,10,96,2.2604166666666665,3.4791666666666665,1.21875,1.0625,1.3854166666666667,1.5543426712430146,1.0183931652990193e-15
gpt-4o-mini,PTO_LA5,11,no difficulty w/ words,Fluency/ease,10,96,3.53125,4.760416666666667,1.2291666666666667,1.0208333333333333,1.4583333333333333,1.0804224331877421,3.827457732583004e-12
gpt-4o-mini,PTO_LA5,12,expressed himself,Fluency/ease,10,96,3.4895833333333335,4.770833333333333,1.28125,1.0625,1.5104166666666667,1.1241573473970454,1.1463847964090702e-12
gpt-4o-mini,PTO_LA5,13,a 'warm' partner,Warmth/closeness,10,96,3.0520833333333335,4.375,1.3229166666666667,1.0833333333333333,1.5833333333333333,1.0291030661619105,1.4047721939898379e-12
gpt-4o-mini,PTO_LA5,14,did not judge me,Non-judgment/equality,10,96,3.3958333333333335,4.885416666666667,1.4895833333333333,1.1979166666666667,1.8125,0.9744516808124226,3.684158325296867e-11
gpt-4o-mini,PTO_LA5,15,treated me as equal,Non-judgment/equality,10,96,3.3541666666666665,4.854166666666667,1.5,1.21875,1.8023437499999986,1.0041188759211392,1.6215887089861807e-11
gpt-4o-mini,PTO_LA5,16,made me feel cared for,Warmth/closeness,10,96,3.1875,4.760416666666667,1.5729166666666667,1.28125,1.8645833333333333,1.0643130018649207,1.3801221875992958e-12
gpt-4o-mini,PTO_LA5,17,made me feel close,Warmth/closeness,10,96,3.125,4.71875,1.59375,1.32265625,1.875,1.117706091353809,9.763514907822846e-13
gpt-4o-mini,GRPO_LA0,1,sense of who he was,Self-disclosure,10,96,3.09375,3.65625,0.5625,0.4166666666666667,0.71875,0.7351048996457213,3.1072938252795477e-09
gpt-4o-mini,GRPO_LA0,2,revealed his thinking,Self-disclosure,10,96,2.6354166666666665,3.7083333333333335,1.0729166666666667,0.8541666666666666,1.28125,1.0133844371916036,1.0835574828003286e-11
gpt-4o-mini,GRPO_LA0,3,shared his feelings,Self-disclosure,10,96,2.21875,3.0833333333333335,0.8645833333333334,0.71875,1.0,1.200912809806621,1.1158692896431393e-13
gpt-4o-mini,GRPO_LA0,4,knew how I was feeling,Empathy/understanding,10,96,3.28125,4.09375,0.8125,0.625,1.0,0.860866546699311,2.8013606173234394e-10
gpt-4o-mini,GRPO_LA0,5,understood me,Empathy/understanding,10,96,3.2395833333333335,3.9791666666666665,0.7395833333333334,0.53125,0.9583333333333334,0.6920777669176159,5.191156448272845e-08
gpt-4o-mini,GRPO_LA0,6,put himself in my shoes,Empathy/understanding,10,96,2.7916666666666665,3.8020833333333335,1.0104166666666667,0.8020833333333334,1.2083333333333333,0.979995347018947,1.9404490708688857e-11
gpt-4o-mini,GRPO_LA0,7,comfortable talking,Fluency/ease,10,96,3.5416666666666665,4.239583333333333,0.6979166666666666,0.5104166666666666,0.8958333333333334,0.7007267448630989,2.7866708534859355e-08
gpt-4o-mini,GRPO_LA0,8,relaxed and secure,Fluency/ease,10,96,3.53125,4.25,0.71875,0.53125,0.9166666666666666,0.7172181103988162,2.0119043412855777e-08
gpt-4o-mini,GRPO_LA0,9,took charge,Direction/control,10,96,2.7291666666666665,3.71875,0.9895833333333334,0.78125,1.1979166666666667,0.9155310215730197,6.704523336731742e-11
gpt-4o-mini,GRPO_LA0,10,said when happy/sad,Self-disclosure,10,96,2.3333333333333335,3.1354166666666665,0.8020833333333334,0.6354166666666666,0.96875,0.9678893371733076,3.751837162189076e-11
gpt-4o-mini,GRPO_LA0,11,no difficulty w/ words,Fluency/ease,10,96,3.5625,4.208333333333333,0.6458333333333334,0.4479166666666667,0.8541666666666666,0.6173800690276602,3.8729395354659546e-07
gpt-4o-mini,GRPO_LA0,12,expressed himself,Fluency/ease,10,96,3.5416666666666665,4.208333333333333,0.6666666666666666,0.46875,0.8752604166666652,0.627195935255346,2.788525206639046e-07
gpt-4o-mini,GRPO_LA0,13,a 'warm' partner,Warmth/closeness,10,96,3.03125,3.8229166666666665,0.7916666666666666,0.59375,0.9895833333333334,0.7965730143555745,8.495104639136927e-10
gpt-4o-mini,GRPO_LA0,14,did not judge me,Non-judgment/equality,10,96,3.5104166666666665,4.333333333333333,0.8229166666666666,0.5520833333333334,1.1145833333333333,0.5729294756538463,1.1811843118315436e-06
gpt-4o-mini,GRPO_LA0,15,treated me as equal,Non-judgment/equality,10,96,3.3958333333333335,4.229166666666667,0.8333333333333334,0.5625,1.1354166666666667,0.5811555316702224,1.0511974111048443e-06
gpt-4o-mini,GRPO_LA0,16,made me feel cared for,Warmth/closeness,10,96,3.28125,3.9375,0.65625,0.39557291666666666,0.9375,0.4669276608493848,6.803034187987952e-05
gpt-4o-mini,GRPO_LA0,17,made me feel close,Warmth/closeness,10,96,3.1979166666666665,3.875,0.6770833333333334,0.40598958333333335,0.96875,0.48521061024978196,2.571649833275297e-05
gpt-4o-mini,GRPO_LA5,1,sense of who he was,Self-disclosure,5,96,3.0416666666666665,3.7708333333333335,0.7291666666666666,0.5729166666666666,0.8958333333333334,0.9255843663960855,1.0433418888299237e-10
gpt-4o-mini,GRPO_LA5,2,revealed his thinking,Self-disclosure,5,96,2.6041666666666665,3.7083333333333335,1.1041666666666667,0.9166666666666666,1.3020833333333333,1.1675982700073875,6.914084362192642e-13
gpt-4o-mini,GRPO_LA5,3,shared his feelings,Self-disclosure,5,96,2.1666666666666665,2.8958333333333335,0.7291666666666666,0.59375,0.8645833333333334,1.0843385497744678,1.490025295922183e-12
gpt-4o-mini,GRPO_LA5,4,knew how I was feeling,Empathy/understanding,5,96,3.15625,4.208333333333333,1.0520833333333333,0.8854166666666666,1.2190104166666653,1.2744623009765141,7.942761804982616e-15
gpt-4o-mini,GRPO_LA5,5,understood me,Empathy/understanding,5,96,3.1770833333333335,4.177083333333333,1.0,0.8125,1.1979166666666667,1.0897247358851683,6.965956769117881e-13
gpt-4o-mini,GRPO_LA5,6,put himself in my shoes,Empathy/understanding,5,96,2.6875,3.7916666666666665,1.1041666666666667,0.90625,1.3125,1.081857969729237,1.2230900863399675e-12
gpt-4o-mini,GRPO_LA5,7,comfortable talking,Fluency/ease,5,96,3.4166666666666665,4.5,1.0833333333333333,0.84375,1.3229166666666667,0.9284717054944539,4.8878152577062757e-11
gpt-4o-mini,GRPO_LA5,8,relaxed and secure,Fluency/ease,5,96,3.40625,4.53125,1.125,0.8958333333333334,1.3541666666666667,0.9907093933342999,1.520634567705203e-11
gpt-4o-mini,GRPO_LA5,9,took charge,Direction/control,5,96,2.6770833333333335,3.8020833333333335,1.125,0.9166666666666666,1.34375,1.0526874757775861,3.2882847359017305e-12
gpt-4o-mini,GRPO_LA5,10,said when happy/sad,Self-disclosure,5,96,2.3020833333333335,3.25,0.9479166666666666,0.7916666666666666,1.1041666666666667,1.2487664385870771,3.1084940867017974e-14
gpt-4o-mini,GRPO_LA5,11,no difficulty w/ words,Fluency/ease,5,96,3.4166666666666665,4.53125,1.1145833333333333,0.8854166666666666,1.3541666666666667,0.9766074268154343,2.2528074678328623e-11
gpt-4o-mini,GRPO_LA5,12,expressed himself,Fluency/ease,5,96,3.40625,4.53125,1.125,0.8958333333333334,1.3541666666666667,0.9907093933342999,1.520634567705203e-11
gpt-4o-mini,GRPO_LA5,13,a 'warm' partner,Warmth/closeness,5,96,2.9791666666666665,3.9583333333333335,0.9791666666666666,0.7604166666666666,1.21875,0.8503642043058462,1.2138541506949646e-10
gpt-4o-mini,GRPO_LA5,14,did not judge me,Non-judgment/equality,5,96,3.3854166666666665,4.645833333333333,1.2604166666666667,0.9583333333333334,1.5627604166666653,0.8508122989183183,3.413005614179868e-10
gpt-4o-mini,GRPO_LA5,15,treated me as equal,Non-judgment/equality,5,96,3.2604166666666665,4.541666666666667,1.28125,1.0,1.5833333333333333,0.917135482728381,9.331116192107568e-11
gpt-4o-mini,GRPO_LA5,16,made me feel cared for,Warmth/closeness,5,96,3.1354166666666665,4.416666666666667,1.28125,0.9893229166666667,1.5625,0.9122285196718627,3.53865008998254e-11
gpt-4o-mini,GRPO_LA5,17,made me feel close,Warmth/closeness,5,96,3.0520833333333335,4.364583333333333,1.3125,1.0520833333333333,1.5729166666666667,1.0093796492225269,3.2754239850389516e-12
claude-haiku-4-5,PTO_LA0,1,sense of who he was,Self-disclosure,10,96,2.1875,3.09375,0.90625,0.7393229166666667,1.0833333333333333,1.0545729774703554,5.411628190103653e-12
claude-haiku-4-5,PTO_LA0,2,revealed his thinking,Self-disclosure,10,96,1.6354166666666667,2.3541666666666665,0.71875,0.60390625,0.84375,1.1773340229470577,9.29556888348314e-14
claude-haiku-4-5,PTO_LA0,3,shared his feelings,Self-disclosure,10,96,1.4791666666666667,3.2083333333333335,1.7291666666666667,1.5520833333333333,1.90625,1.921192270941105,1.881302716527822e-16
