group,subset,n_contrasts,n_same_sign,pct_same_sign
all cross-K contrasts,all contrasts,153,116,75.8
all cross-K contrasts,|Δ primary| ≥ 0.10,38,37,97.4
all cross-K contrasts,|Δ primary| ≥ 0.25,3,3,100.0
all cross-K contrasts,|Δ primary| ≥ 0.50,0,0,
all cross-K contrasts,judge CI excludes 0,49,46,93.9
all cross-K contrasts,primary p_holm < 0.05,18,18,100.0
all cross-K contrasts,judge p_holm < 0.05,34,32,94.1
all cross-K contrasts,both graders p_holm < 0.05,15,15,100.0
all cross-K contrasts,iteration >= 1 (base row excluded),135,103,76.3
method=PTO,all contrasts,99,70,70.7
method=PTO,|Δ primary| ≥ 0.10,23,22,95.7
method=PTO,|Δ primary| ≥ 0.25,2,2,100.0
method=PTO,|Δ primary| ≥ 0.50,0,0,
method=PTO,judge CI excludes 0,35,32,91.4
method=PTO,primary p_holm < 0.05,8,8,100.0
method=PTO,judge p_holm < 0.05,23,21,91.3
method=PTO,both graders p_holm < 0.05,7,7,100.0
method=PTO,iteration >= 1 (base row excluded),90,65,72.2
method=GRPO,all contrasts,54,46,85.2
method=GRPO,|Δ primary| ≥ 0.10,15,15,100.0
method=GRPO,|Δ primary| ≥ 0.25,1,1,100.0
method=GRPO,|Δ primary| ≥ 0.50,0,0,
method=GRPO,judge CI excludes 0,14,14,100.0
method=GRPO,primary p_holm < 0.05,10,10,100.0
method=GRPO,judge p_holm < 0.05,11,11,100.0
method=GRPO,both graders p_holm < 0.05,8,8,100.0
method=GRPO,iteration >= 1 (base row excluded),45,38,84.4
metric=Q1Q2,all contrasts,17,14,82.4
metric=Q1Q2,|Δ primary| ≥ 0.10,7,7,100.0
metric=Q1Q2,|Δ primary| ≥ 0.25,1,1,100.0
metric=Q1Q2,|Δ primary| ≥ 0.50,0,0,
metric=Q1Q2,judge CI excludes 0,10,8,80.0
metric=Q1Q2,primary p_holm < 0.05,2,2,100.0
metric=Q1Q2,judge p_holm < 0.05,5,4,80.0
metric=Q1Q2,both graders p_holm < 0.05,2,2,100.0
metric=Q1Q2,iteration >= 1 (base row excluded),15,12,80.0
metric=Q1,all contrasts,17,14,82.4
metric=Q1,|Δ primary| ≥ 0.10,7,7,100.0
metric=Q1,|Δ primary| ≥ 0.25,0,0,
metric=Q1,|Δ primary| ≥ 0.50,0,0,
metric=Q1,judge CI excludes 0,4,4,100.0
metric=Q1,primary p_holm < 0.05,1,1,100.0
metric=Q1,judge p_holm < 0.05,3,3,100.0
metric=Q1,both graders p_holm < 0.05,1,1,100.0
metric=Q1,iteration >= 1 (base row excluded),15,12,80.0
metric=Q2,all contrasts,17,16,94.1
metric=Q2,|Δ primary| ≥ 0.10,7,7,100.0
metric=Q2,|Δ primary| ≥ 0.25,1,1,100.0
metric=Q2,|Δ primary| ≥ 0.50,0,0,
metric=Q2,judge CI excludes 0,9,8,88.9
metric=Q2,primary p_holm < 0.05,2,2,100.0
metric=Q2,judge p_holm < 0.05,6,5,83.3
metric=Q2,both graders p_holm < 0.05,2,2,100.0
metric=Q2,iteration >= 1 (base row excluded),15,14,93.3
metric=WAI-SR,all contrasts,17,7,41.2
metric=WAI-SR,|Δ primary| ≥ 0.10,2,2,100.0
metric=WAI-SR,|Δ primary| ≥ 0.25,1,1,100.0
metric=WAI-SR,|Δ primary| ≥ 0.50,0,0,
metric=WAI-SR,judge CI excludes 0,0,0,
metric=WAI-SR,primary p_holm < 0.05,1,1,100.0
metric=WAI-SR,judge p_holm < 0.05,0,0,
metric=WAI-SR,both graders p_holm < 0.05,0,0,
metric=WAI-SR,iteration >= 1 (base row excluded),15,6,40.0
metric=CSQ-8,all contrasts,17,10,58.8
