train_iter,Affirmation,ChangeTalk,OpenQuestion,Reflection,SustainTalk,TherapistActions
1,0.0862,0.0344,-0.0059,-0.0136,0.016,0.0664
2,0.0298,-0.0717,-0.0856,-0.0616,-0.0194,-0.0186
3,-0.0266,-0.0572,-0.0445,-0.0679,-0.0173,-0.0324
4,0.1718,0.1552,0.1241,0.127,0.1396,0.1441
5,0.0386,0.0005,-0.0604,-0.0404,0.0387,0.0015
6,0.1114,0.072,-0.0005,0.0256,0.0924,0.0461
7,0.1231,0.0683,0.0483,0.0412,0.1115,0.0712
8,0.0358,0.0346,-0.0281,-0.0087,-0.0181,-0.0197
9,0.0687,0.0007,-0.0262,-0.0184,0.0422,0.0197
10,-0.0288,-0.0934,-0.0741,-0.1034,-0.0828,-0.0806
